ugCourse,ugSpecialization,jobRole,cgpa,historyofBacklogs,computerLiteracy,problemSolving,TechnicalSkill,ResearchSkill,communicationSkill,interpersonalSkill,teamwork,adaptability,timeManagement,emotionalIntelligence,continousLearning,leadership
BE or BTech,Computer Science,Civil Engineer,8.8,7.6,4.9,1.8,5.7,0.0,9.7,2.1,0.3,8.9,4.0,1.9,0.7,7.7
BFA,Sculpture,Film and Video Editor,3.5,1.5,0.1,5.5,7.2,3.2,6.0,8.6,3.7,4.9,8.2,8.0,8.5,3.8
BSA,Astronomy,Astro-Ethnographer,9.3,5.8,3.5,8.1,4.9,8.9,3.5,5.2,0.2,2.9,5.4,6.4,0.9,8.1
BSc,Physics,Lab Technician,2.3,10.7,2.4,9.6,3.6,0.2,6.7,8.4,3.8,8.7,5.7,2.8,9.5,0.3
BCA,Web Development,Systems Analyst,4.4,10.6,7.4,8.2,5.7,9.9,0.5,2.5,0.4,0.1,2.1,2.3,7.4,1.4
BBA,International Business,Management Consultant,9.8,5.1,9.0,10.0,5.1,4.4,7.3,9.7,9.7,1.9,7.7,4.8,0.3,9.4
BCom,Accounting,Investment Analyst,1.4,11.8,4.7,5.6,2.2,8.6,8.2,8.7,5.1,2.1,7.0,4.2,5.8,2.0
BBA,Entrepreneurship,Operations Manager,4.5,5.6,7.1,5.0,8.7,5.8,5.5,6.1,1.0,6.9,5.0,2.6,0.6,8.3
BSA,Space Engineering,Space Artist,1.8,2.2,6.5,8.8,3.9,3.9,4.5,0.7,6.6,7.6,3.5,7.3,3.3,0.3
BFA,Fine Arts,Photographer,2.8,2.8,9.1,2.9,4.9,7.6,6.6,0.9,4.0,9.3,0.5,3.0,5.4,6.9
BCom,Marketing,Financial Analyst,8.4,8.0,1.4,7.4,5.3,4.1,1.0,0.7,8.4,2.1,6.0,0.8,2.0,6.3
BA,Psychology,Human Resources Assistant,7.7,5.1,9.6,4.5,5.8,2.5,3.3,4.9,8.2,8.4,8.8,3.1,6.7,7.3
